id,comment_count,favorite_count,score
18478910,3,,7
18408773,3,,8
18416784,3,,8
18418320,3,,8
18423990,3,,8
18450391,3,,8
18452824,3,,8
18453609,3,,8
18460780,3,,8
18469780,3,,8
18478710,3,,8
18481410,3,,8
18385635,3,,9
18448371,3,,9
18457139,3,,9
18477272,3,,9
18477915,3,,9
18368588,3,,10
18422670,3,,10
18457890,3,,10
17864807,3,,11
18425145,3,,11
18429354,3,,12
18448342,3,,12
18411006,3,,13
18477044,3,,13
17891469,3,,14
18384161,3,,14
18164472,3,,15
17999597,3,,16
18003035,3,,18
18415851,3,,18
18230782,3,,19
18450519,3,,19
18482107,3,,19
18365440,3,,20
18222188,3,,30
18459157,3,,31
18474803,3,,31
18457698,3,,37
18408023,3,,46
18292828,3,,57
18462893,3,,587
17997943,3,,83
18265655,3,,-1
18290447,3,,-1
18425269,3,,-1
18455579,3,,-1
18462606,3,,-1
18463659,3,,-1
18031074,4,,0
18210991,4,,0
18232675,4,,0
18272403,4,,0
18332461,4,,0
18336260,4,,0
18387693,4,,0
18387839,4,,0
18396191,4,,0
18404937,4,,0
18410253,4,,0
18410601,4,,0
18412210,4,,0
18412396,4,,0
18416858,4,,0
18417540,4,,0
18417558,4,,0
18417566,4,,0
18422627,4,,0
18423035,4,,0
18426210,4,,0
18426311,4,,0
18427412,4,,0
18428130,4,,0
18428857,4,,0
18429390,4,,0
18429528,4,,0
18429722,4,,0
18429998,4,,0
18431270,4,,0
18433953,4,,0
18434749,4,,0
18437080,4,,0
18438021,4,,0
18438428,4,,0
18438855,4,,0
18439328,4,,0
18439976,4,,0
18440791,4,,0
18441618,4,,0
18443232,4,,0
18445900,4,,0
18447244,4,,0
18448576,4,,0
18451223,4,,0
18451268,4,,0
18451633,4,,0
18453702,4,,0
18455171,4,,0
18455278,4,,0
18456284,4,,0
18456447,4,,0
18457296,4,,0
18457345,4,,0
18459563,4,,0
18460542,4,,0
18460576,4,,0
18461127,4,,0
18461705,4,,0
18462034,4,,0
18462117,4,,0
18463388,4,,0
18463789,4,,0
18465522,4,,0
18466359,4,,0
18466527,4,,0
18466631,4,,0
18467634,4,,0
18469793,4,,0
18470496,4,,0
18471646,4,,0
18472587,4,,0
18473301,4,,0
18474316,4,,0
18474540,4,,0
18481500,4,,0
18484430,4,,0
18065139,4,,1
18092027,4,,1
18195665,4,,1
18214813,4,,1
18339095,4,,1
18347647,4,,1
18367619,4,,1
18372146,4,,1
18391619,4,,1
18408084,4,,1
18408263,4,,1
18410591,4,,1
18411448,4,,1
18412141,4,,1
18413321,4,,1
18413799,4,,1
18414333,4,,1
18414495,4,,1
18414550,4,,1
18415021,4,,1
18415123,4,,1
18416148,4,,1
18418313,4,,1
18418531,4,,1
18418755,4,,1
18420873,4,,1
18421357,4,,1
18421361,4,,1
18421914,4,,1
18422718,4,,1
18423628,4,,1
18423727,4,,1
18424015,4,,1
18425711,4,,1
18426291,4,,1
18427253,4,,1
18430279,4,,1
18433004,4,,1
18433458,4,,1
18435655,4,,1
18438655,4,,1
18440093,4,,1
18441198,4,,1
18441885,4,,1
18444426,4,,1
18444429,4,,1
18444784,4,,1
18445460,4,,1
18446028,4,,1
18447486,4,,1
18447638,4,,1
18450841,4,,1
18451695,4,,1
18452787,4,,1
18453088,4,,1
18453434,4,,1
18454411,4,,1
18455726,4,,1
18456001,4,,1
18456051,4,,1
18456780,4,,1
18456850,4,,1
18460736,4,,1
18462413,4,,1
18465610,4,,1
18466582,4,,1
18466985,4,,1
18467094,4,,1
18467198,4,,1
18468108,4,,1
18468125,4,,1
18468290,4,,1
18470148,4,,1
18471608,4,,1
18471793,4,,1
18472699,4,,1
18473332,4,,1
